"res_1_min","res_2_min","res_3_min","res_4_min","res_5_min","res_6_min","res_7_min","res_8_min","res_9_min","res_10_min","upper_weber_stor_min","upper_ogden_stor_min","lower_stor_min","total_res_min","current_res_min","moderate_max","severe_max","extreme_max","SA1_max","SA2_max","SA3_max","SA4_max","SA5_max","SA6_max","SA7_max","SA8_max","SA9_max","SA10_max","SA11_max","SA12_max","SA13_max","SA14_max","SA15_max","SA16_max","SA17_max","SA18_max","SA19_max","SA20_max","upper_weber_short_max","upper_ogden_short_max","lower_short_max","system_max","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_11","k_12","k_13","k_14","k_15","k_16","k_17","k_18"
751,45606.53756,2423.741995,16018.5109,23514.8824,1000,7.621144618,101713.5745,Inf,Inf,88314.672855,1007.621144618,101713.5745,198683.55651498,198683.55651498,0,0,0,-Inf,380.816197,0,0,0,0,0,0,0,0,0,4672.898216,5848,4806,0,0,0,0,0,-Inf,380.816197,13690.397128,0,13781.498045,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5421.828218,51526.05736,38569.15185,19217.69372,32702.80563,1000,7061.217917,198992.6757,Inf,Inf,147437.536778,8061.217917,198992.6757,354491.430395,354491.430395,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,3778.226959,0,0,0,0,0,0,0,-Inf,0,3778.226959,0,3778.22695900001,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
8341.881804,61161.10408,73940,22355.28877,51200,4719.930625,64258.10662,242435.807,Inf,Inf,217053.679324,68978.037245,242435.807,528467.523569,528467.523569,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
8341.881804,61188.2199,73940,21147.69088,51200,3257.293774,9886.903415,213630.4934,Inf,Inf,215842.698834,13144.197189,213630.4934,442617.389423,442617.389423,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8341.881804,60356.26293,70504.31324,20626.55671,43868.19694,3292.101822,1399.416524,181790.6424,Inf,Inf,203697.211624,4691.518346,181790.6424,390179.37237,390179.37237,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8341.881804,61189.8238,73940,21467.1545,51200,3281.250637,30499.98658,216390.4734,Inf,Inf,216186.141054,33781.237217,216390.4734,466357.851671,466357.851671,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8350,61260,73940,22496.88801,51200,7870,101592.8972,247302,Inf,Inf,217246.88801,109462.8972,247302,574011.78521,574011.78521,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,1,1,4,4,6,6,6,6,6,6,6,13,13,13,13,13,13
8350,61073.18481,73940,21022.18987,51200,3368.542006,5865.816253,211437.1996,Inf,Inf,215772.18987,9234.358259,211437.1996,436443.747729,436443.747729,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7469.460573,51481.79339,37184.74298,18898.50829,30737.2562,1000,9.999998897,162406.3164,Inf,Inf,146063.625621,1009.999998897,162406.3164,317473.30919205,317473.30919205,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2830.933909,1711.584844,4806,0,0,0,0,0,-Inf,0,8909.464159,0,8909.464159,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
8350,57941.78605,62038.28443,20734.71751,39349.27067,3464.066472,1876.536198,179029.2265,Inf,Inf,188414.05866,5340.60267,179029.2265,372783.88783,372783.88783,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
