"","data","response","year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request"
"285","paleo","Base",1713,612233.43853779,690783.8,622083.8,78550.36146221,9850.36146221
"286","paleo","Base",1714,611185.480091,690783.8,622083.8,79598.319909,10898.319909
"287","paleo","Base",1715,610035.4594031,690783.8,622083.8,80748.3405969,12048.3405969
"288","paleo","Base",1716,613008.07281318,690783.8,622083.8,77775.72718682,9075.72718682
"289","paleo","Base",1717,616643.119197,690783.8,622083.8,74140.680803,5440.680803
"290","paleo","Base",1718,613713.260385,690783.8,622083.8,77070.539615,8370.53961499998
"291","paleo","Base",1719,613608.8149301,690783.8,622083.8,77174.9850699,8474.98506989999
"292","paleo","Base",1720,619979.3880873,690783.8,622083.8,70804.4119127,2104.4119127
"293","paleo","Base",1721,598838.7258634,690783.8,622083.8,91945.0741366,23245.0741366
"294","paleo","Base",1722,608397.56119294,690783.8,622083.8,82386.23880706,13686.23880706
"295","paleo","Base",1723,619720.6708753,690783.8,622083.8,71063.1291247,2363.1291247
"296","paleo","Base",1724,619392.392145,690783.8,622083.8,71391.407855,2691.407855
"297","paleo","Base",1725,622078.716066,690783.8,622083.8,68705.083934,5.08393399999477
"298","paleo","Base",1726,622078.472012,690783.8,622083.8,68705.327988,5.32798800000455
"299","paleo","Base",1727,622078.237917,690783.8,622083.8,68705.562083,5.56208299999707
"300","paleo","Base",1728,620917.378404,690783.8,622083.8,69866.421596,1166.421596
"301","paleo","Base",1729,603370.24390298,690783.8,622083.8,87413.55609702,18713.55609702
"302","paleo","Base",1730,619801.90948,690783.8,622083.8,70981.89052,2281.89052
"303","paleo","Base",1731,620604.1631,690783.8,622083.8,70179.6369,1479.6369
"304","paleo","Base",1732,620199.680483,690783.8,622083.8,70584.119517,1884.119517
"305","paleo","Base",1733,620839.517261,690783.8,622083.8,69944.282739,1244.282739
"306","paleo","Base",1734,620742.083386,690783.8,622083.8,70041.716614,1341.716614
"307","paleo","Base",1735,592478.6509772,690783.8,622083.8,98305.1490228,29605.1490228
"308","paleo","Base",1736,592250.653428,690783.8,622083.8,98533.146572,29833.146572
"309","paleo","Base",1737,615471.741998,690783.8,622083.8,75312.058002,6612.05800199999
"310","paleo","Base",1738,618539.604994,690783.8,622083.8,72244.195006,3544.19500600001
"311","paleo","Base",1739,618210.911735,690783.8,622083.8,72572.888265,3872.88826499999
"312","paleo","Base",1740,617794.224536,690783.8,622083.8,72989.575464,4289.57546399999
"313","paleo","Base",1741,619488.119056,690783.8,622083.8,71295.680944,2595.68094400001
"314","paleo","Base",1742,619383.12285,690783.8,622083.8,71400.67715,2700.67715
"315","paleo","Base",1743,618110.69503,690783.8,622083.8,72673.10497,3973.10497
"316","paleo","Base",1744,614878.96545,690783.8,622083.8,75904.83455,7204.83455
"317","paleo","Base",1745,618482.267816,690783.8,622083.8,72301.532184,3601.532184
"318","paleo","Base",1746,622079.978829,690783.8,622083.8,68703.821171,3.82117100000323
"319","paleo","Base",1747,622078.462773,690783.8,622083.8,68705.337227,5.33722699999635
"320","paleo","Base",1748,615914.117704,690783.8,622083.8,74869.682296,6169.682296
"321","paleo","Base",1749,619370.415971,690783.8,622083.8,71413.384029,2713.38402899999
"322","paleo","Base",1750,612917.365245,690783.8,622083.8,77866.434755,9166.434755
"323","paleo","Base",1751,608826.1271509,690783.8,622083.8,81957.6728491,13257.6728491
"324","paleo","Base",1752,618846.20243625,690783.8,622083.8,71937.59756375,3237.59756375
"325","paleo","Base",1753,619255.808749,690783.8,622083.8,71527.991251,2827.991251
